~from,~to,~id,~label,campaign_login:Int,campaign_emailOpened:Int,campaign_linkClicked:Int
e3071203-dba6-4d46-b902-3e927cd32c94,7e9400a9-de77-40c2-a897-a608c01776a2,d45a3888-f3d3-45a2-87ad-f7fd7d374ebf,CustomerMarketingInteractions,16,1,0
88a6e2db-bf66-4d4a-82b7-ce445110ac3b,7e9400a9-de77-40c2-a897-a608c01776a2,0b3ede23-b2c3-4404-91a1-8d6979e6b356,CustomerMarketingInteractions,6,1,1
5aca1e44-7253-46ac-83e7-b1c30472ebdd,7e9400a9-de77-40c2-a897-a608c01776a2,e091e717-23aa-4ecf-9007-1c7186d5900f,CustomerMarketingInteractions,6,2,1
9eeb4f52-ed77-424b-ad91-aed8652e5fcd,7e9400a9-de77-40c2-a897-a608c01776a2,06d547ea-2017-4c14-94cc-ba56700094ad,CustomerMarketingInteractions,15,2,1
ff86a285-1338-4704-a568-159a323a25a4,7e9400a9-de77-40c2-a897-a608c01776a2,93b88214-9855-4921-9e35-e4d5ff5de82e,CustomerMarketingInteractions,17,2,1
fe392cca-246a-4106-9291-b025961cb65d,7e9400a9-de77-40c2-a897-a608c01776a2,a02f232f-fa1a-44af-8921-3a29d5ce87d4,CustomerMarketingInteractions,7,3,0
ec712839-435e-4ccd-bdae-aac04a95a99a,7e9400a9-de77-40c2-a897-a608c01776a2,e452d4a2-358b-4388-affd-e4b7b1522b38,CustomerMarketingInteractions,19,4,0
49e61985-ecd4-408c-b5d6-9deff035da2b,7e9400a9-de77-40c2-a897-a608c01776a2,43744c60-0265-49ca-bddd-a3fd0c3938b1,CustomerMarketingInteractions,6,3,1
4bf36fe9-03a5-4f22-8f06-0c7628f0c37c,7e9400a9-de77-40c2-a897-a608c01776a2,b75335cf-fb9d-43d2-a2bd-0b4528550517,CustomerMarketingInteractions,11,1,1
8745e769-9759-43a3-88f4-2b2fb9ffdd8b,7e9400a9-de77-40c2-a897-a608c01776a2,c318ef0e-5f78-4cb2-9c57-537734a1ad0b,CustomerMarketingInteractions,3,1,0
2ef10012-5918-42bf-b169-30a765e3b1d5,7e9400a9-de77-40c2-a897-a608c01776a2,ca8fe17f-cef9-4fd0-8d05-7ecf9e052bac,CustomerMarketingInteractions,6,3,1
d1b416ae-c55c-4414-9848-4b08a8d3fd87,7e9400a9-de77-40c2-a897-a608c01776a2,b1bfdd8d-a00c-4668-a0f7-b26814aa9c10,CustomerMarketingInteractions,3,2,1
48b93650-705d-4220-be59-18cf60bf9a2e,7e9400a9-de77-40c2-a897-a608c01776a2,88941429-82f3-49a5-85f9-896afc9b7e0f,CustomerMarketingInteractions,11,1,0
f3c55752-79b4-4f7d-aaba-1391dfa23ba9,7e9400a9-de77-40c2-a897-a608c01776a2,5116878a-e4ee-4bf0-884f-231af5356fbc,CustomerMarketingInteractions,18,2,1
4b32fadb-58af-4259-8f92-eadf31695cbb,7e9400a9-de77-40c2-a897-a608c01776a2,57e03ef0-cac6-458a-ba13-511f59bd81ea,CustomerMarketingInteractions,19,4,1
c610cd7e-93e5-4d83-8ab1-78f85efb2b1e,7e9400a9-de77-40c2-a897-a608c01776a2,08208774-e333-43bb-b7e5-b835b1993934,CustomerMarketingInteractions,8,2,0
bc7e1007-1749-4229-83aa-3ba405dccfa2,7e9400a9-de77-40c2-a897-a608c01776a2,4d0bba5f-f34b-49e4-bfc4-11ac869c62af,CustomerMarketingInteractions,9,1,1
f68eeb6a-bc9c-4a3c-9028-e3979812c893,7e9400a9-de77-40c2-a897-a608c01776a2,067d2194-54fb-4f48-b655-112e49397821,CustomerMarketingInteractions,5,4,0
fb26e82c-0b34-40b1-9b19-53aedb69875e,7e9400a9-de77-40c2-a897-a608c01776a2,bf5f1a5a-35eb-4900-bb07-bb5e062a3387,CustomerMarketingInteractions,15,2,0
799cc418-35e4-4485-8157-2e6790b65c61,7e9400a9-de77-40c2-a897-a608c01776a2,1c4762c6-052f-435d-875a-e7470a3ed121,CustomerMarketingInteractions,10,4,0
484f8038-032d-4cdd-990a-35e07714eebc,7e9400a9-de77-40c2-a897-a608c01776a2,d58caea0-5528-49a5-930a-256c519a2559,CustomerMarketingInteractions,1,4,1
96c80c2f-5f90-437e-8657-d419e2571635,7e9400a9-de77-40c2-a897-a608c01776a2,0156fd65-7ad1-4b4e-8f06-6a70f0eb5358,CustomerMarketingInteractions,5,4,0
c4958f9d-404f-4bcc-9a06-a300c0be26cf,7e9400a9-de77-40c2-a897-a608c01776a2,78d3e13c-ced9-4c51-bc13-d9feed3be766,CustomerMarketingInteractions,9,2,1
3d257409-5d24-464e-ab0d-bde9b3b58845,7e9400a9-de77-40c2-a897-a608c01776a2,6c37d54c-4ae1-4705-9353-57051920c906,CustomerMarketingInteractions,13,1,0
0c2e3c2e-f59d-4397-b2d1-626ad9f1d666,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,c7d37919-629a-410e-a7e8-4d92e2e07c00,CustomerMarketingInteractions,4,4,0
e261c4ba-83b6-4aec-8e51-7398be00ddd6,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,e58bacba-f7bf-4d4f-aa2a-90254829dd70,CustomerMarketingInteractions,16,4,0
2063e10e-a6c9-47f0-b5a8-aa6a7cfd6ea4,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,632e26b2-de50-4591-89c0-6b1f03349d9b,CustomerMarketingInteractions,8,4,1
0619996d-510b-4905-96be-1713a76acfcd,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,d107f3d7-db46-41a7-8bb9-ec7d6c53241c,CustomerMarketingInteractions,11,2,0
d08c813b-d628-4dc1-9708-c512f03bed99,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,722675da-407b-4c99-863e-819776cc124d,CustomerMarketingInteractions,18,4,1
4ea0e56d-76a4-4701-b180-079d2323c14f,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,1b6cbc4e-2a83-4804-91bd-b84926325bf9,CustomerMarketingInteractions,2,4,1
f3c55752-79b4-4f7d-aaba-1391dfa23ba9,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,c9dc46cc-70d0-45b7-93af-3c1fb43272d3,CustomerMarketingInteractions,18,2,1
b036605d-d1c8-40dd-8ebb-ad19cfc09c30,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,fbbb4691-9444-40ba-981b-a8a809f17dbe,CustomerMarketingInteractions,3,3,0
3408863a-7b29-4d02-996a-61fc39a3fb00,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,968a5327-4e0d-4f52-ba4b-213cb159d206,CustomerMarketingInteractions,16,4,0
484f8038-032d-4cdd-990a-35e07714eebc,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,29d1f595-4fc3-4b00-bcc0-bdfa2f431b7c,CustomerMarketingInteractions,15,3,1
56adcc34-e339-4f3d-8370-0966b844b44f,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,4d73bca6-cbea-47f3-885f-b933cdaea8f9,CustomerMarketingInteractions,13,2,1
47b190e4-ac10-49f3-95ae-edfe2cf848f3,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,4a391916-ecb2-4501-b9a2-cf1b7e747fa9,CustomerMarketingInteractions,2,4,0
799cc418-35e4-4485-8157-2e6790b65c61,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,b2f6c0c7-c5f6-40fa-8d7f-786f5f33f919,CustomerMarketingInteractions,5,1,0
31e33f8d-1a46-477b-a65d-f8f957ab61de,eb5b446a-2b93-4d98-9055-dd3d75ef49e0,e0951f21-812d-4feb-aa4f-2ffa2bf8b724,CustomerMarketingInteractions,3,1,0
