~from,~to,~label,~id,action_chat:Int,action_sharepii:Int,action_partyjoin:Int,action_randomheal:Int,action_endorse:Int,action_report:Int
172dc77f-7273-444f-b251-fe95256e687e,3931111a-a929-431d-bcdf-8fdd31992d4c,Interactions,20fbc8c2-e28e-46d0-94b5-5dd4bed994fa,2974,0,3,1,4,0
172dc77f-7273-444f-b251-fe95256e687e,6908c49a-18c6-4832-bdd3-f7e4028d7e74,Interactions,dfda2fa5-2232-4469-bcb1-d1aeb895e685,2615,1,0,0,4,0
fe392cca-246a-4106-9291-b025961cb65d,b1a411d1-9f08-48ca-b843-f65f7876e33d,Interactions,80c45047-b54b-4ec9-9725-138e92cbc878,244,0,0,1,0,0
fe392cca-246a-4106-9291-b025961cb65d,36243f90-f5cc-4e41-af76-4f2ddd4696de,Interactions,e1b236ea-e942-48c3-947e-52261c97f08a,1499,2,6,2,2,0
fe392cca-246a-4106-9291-b025961cb65d,98444d45-6394-44e8-9211-7069193b30e1,Interactions,62e59f58-9c7d-4399-b45c-f7826b04fe4e,358,1,1,0,6,0
fe392cca-246a-4106-9291-b025961cb65d,50f194fd-5bb2-47a4-b311-45f01c7cfe9f,Interactions,6973738e-2aac-4172-8ae5-0fc5efe25413,1635,0,9,0,12,0
fe392cca-246a-4106-9291-b025961cb65d,5b8969e5-9cc7-4a27-bee6-d786c6952617,Interactions,d3764ab2-e42a-4c02-8fc2-a3b28ea46eef,1451,1,3,0,3,0
fe392cca-246a-4106-9291-b025961cb65d,48783a0f-84a4-45c4-a2fb-51138d901b41,Interactions,5d38be8e-ca03-4478-affa-aa2a0ce09069,1178,0,6,0,8,0
fe392cca-246a-4106-9291-b025961cb65d,c38269c6-b759-4f97-9ad7-7f5fba14cf87,Interactions,f06ba621-14bf-4cbe-b15f-f2b4392db7f5,325,0,8,0,8,0
fe392cca-246a-4106-9291-b025961cb65d,7a206acc-020d-4986-aef0-b157e54aa019,Interactions,989f15ad-363e-417f-afd6-9760acdd8861,1350,1,0,0,0,0
fe392cca-246a-4106-9291-b025961cb65d,eb4f52f2-8caa-43d1-b7e6-ce66710a50c2,Interactions,61dea69d-9e8b-4899-a7c0-475e4134f014,1175,0,5,1,5,0
fe392cca-246a-4106-9291-b025961cb65d,8ad19505-b0d5-4e95-97d2-2ecca270ddf4,Interactions,8f186d24-39e6-48e9-a9d7-60173a59bff2,1619,1,5,0,4,0
fe392cca-246a-4106-9291-b025961cb65d,13c3ba8f-7d29-459d-a419-da447b43f891,Interactions,8243e76f-e2ae-4cec-ae91-d746eac99e87,1961,0,8,0,11,0
fe392cca-246a-4106-9291-b025961cb65d,73a581af-02a1-4de9-9c1d-24d47ef42ea3,Interactions,0cea012c-7b67-4faa-b6a9-a7a7b73e775f,2964,0,7,3,3,0
c9125626-e668-49bf-ae35-1dae2a1b824e,0248c74b-4edc-48f7-b878-143865165069,Interactions,e07fe557-3700-4baa-9265-e86c4753433b,1145,0,7,0,5,0
c9125626-e668-49bf-ae35-1dae2a1b824e,1864e0aa-bc4b-4842-a4ab-a9f4bcc05902,Interactions,bc275cdb-ef7e-4f63-b5ce-5138c44db481,1192,1,6,0,3,0
c9125626-e668-49bf-ae35-1dae2a1b824e,9d1367a2-bb79-4f52-b188-67253c592290,Interactions,ece38244-79bc-4c7d-9169-ff4f7cf2a556,3559,0,5,1,1,0
c9125626-e668-49bf-ae35-1dae2a1b824e,a2470c7b-c8bb-447f-970b-a2343d031219,Interactions,6d813659-fdb8-42de-a6ed-85efb9f80a5e,42,1,4,1,1,0
c9125626-e668-49bf-ae35-1dae2a1b824e,57593715-4495-49ff-92d3-a8c997984c56,Interactions,026667f7-e9ab-4c2f-9a15-3cf157011757,579,0,8,0,3,0
c9125626-e668-49bf-ae35-1dae2a1b824e,d6279141-9522-4d54-80b2-2d55f81d639e,Interactions,812bcfef-53ed-4c24-b948-9173deee3144,1845,0,3,2,4,0
c9125626-e668-49bf-ae35-1dae2a1b824e,59a6cf3f-1034-4e15-aac5-cd81b95a14fd,Interactions,c6e286e2-3357-4838-b5a7-52c0a1e766ea,2588,0,6,2,4,0
c9125626-e668-49bf-ae35-1dae2a1b824e,c2caf539-1e24-4eff-8357-35fe5631ef2a,Interactions,c3cccbed-de83-4120-83b4-86737bd17cf2,679,1,1,2,0,0
c9125626-e668-49bf-ae35-1dae2a1b824e,05334f83-1db3-421c-acf2-0cc109c87d07,Interactions,d40effb9-b50c-411b-996d-58d11e5e2212,4058,1,1,0,1,0
28c200cd-0b6c-4d35-b86c-3d1862633c6e,0b8e4e59-e887-41a0-afb2-2c182e58517f,Interactions,d3976447-f37c-4f50-ac05-78e09ed51c28,2787,1,2,2,2,0
28c200cd-0b6c-4d35-b86c-3d1862633c6e,d6279141-9522-4d54-80b2-2d55f81d639e,Interactions,06e7262b-6270-4b76-8600-cb177916cd4c,2393,2,12,0,5,0
28c200cd-0b6c-4d35-b86c-3d1862633c6e,dd51b0d7-8cb3-497e-b265-f17c3d1b37cd,Interactions,56f2ca48-d0f7-413b-a749-d12ecf19a78b,4338,0,7,1,5,0
28c200cd-0b6c-4d35-b86c-3d1862633c6e,554e2e22-a8d2-4999-ac09-83d579e22beb,Interactions,9195e1bd-d3f7-4aff-b073-bc17a1b5835d,2548,0,0,0,3,0
28c200cd-0b6c-4d35-b86c-3d1862633c6e,e04d304d-4d5b-4dd2-a259-ef31abae2438,Interactions,b7b2a593-884a-4619-9d14-e7353d8fe316,1318,1,3,1,0,0
28c200cd-0b6c-4d35-b86c-3d1862633c6e,5aca1e44-7253-46ac-83e7-b1c30472ebdd,Interactions,2dddb833-8a86-422e-a9eb-6933b8e6fbab,436,0,3,0,11,0
28c200cd-0b6c-4d35-b86c-3d1862633c6e,8efce1ae-0b1a-4565-a1ef-c2d064c88b6e,Interactions,5ad418a0-b17d-4a34-8d67-760b69a07d12,989,0,1,0,7,0
28c200cd-0b6c-4d35-b86c-3d1862633c6e,e4e4808a-5cc4-4fcb-9547-407ff0fcc019,Interactions,fbce87f7-cc50-4dda-81e2-f17ed3c0bd28,4971,0,0,0,0,0
28c200cd-0b6c-4d35-b86c-3d1862633c6e,45e1d132-9abd-40a2-9579-49326a89859f,Interactions,0bb84487-72b0-4c45-8db3-615064552fdc,4571,1,8,0,2,0
