~id,~label,playerId:String,status:String,joinedDate:Date,lastPlayed:Date,ea_reputation:Int,ea_altruism:Int,ea_duty:Int,ea_mischief:Int,ea_malice:Int,ea_atrisk:Int,stat_totalSkinPurchases:Int,stat_totalCurrencyPurchases:Int,stat_idleMinutes:Int,stat_marketingEmailClickThroughs:Int,stat_lastChatTimestamp:Int,stat_lastGameSession:Int,stat_lastGameSessionLength:Int,stat_longestGameSessionLength:Int,stat_shortestGameSessionLength:Int,stat_medianGameSessionLength:Int
172dc77f-7273-444f-b251-fe95256e687e,player,fwilson,Active,2021-06-23,2021-06-23,11,11,4,0,0,0,19,872,361,6,1622770017,1622565133,237,237,8,60
fe392cca-246a-4106-9291-b025961cb65d,player,garciamichael,Active,2016-09-03,2016-12-07,10,2,3,-2,0,0,15,1110,518,13,1622155089,1618924703,169,607,8,63
c9125626-e668-49bf-ae35-1dae2a1b824e,player,reedcindy,Active,2020-06-20,2020-08-16,26,10,2,0,0,0,19,1478,369,12,1621326410,1618590400,194,372,9,60
28c200cd-0b6c-4d35-b86c-3d1862633c6e,player,whitedanny,Active,2016-08-25,2020-12-05,18,2,2,-2,1,0,12,971,402,14,1622012767,1623282744,121,471,11,57
221755d2-86f3-4cb9-b0cc-a1296feb8365,player,pgilmore,Active,2017-01-27,2021-01-13,25,24,6,-1,0,0,11,1092,444,17,1620079145,1623881735,193,341,13,60
4dffbd7b-daa4-4621-ad5d-020e45b5f941,player,guzmanchristopher,Active,2021-06-13,2021-06-15,11,35,3,0,0,0,18,1196,392,20,1621383046,1620761216,118,409,14,59
48b93650-705d-4220-be59-18cf60bf9a2e,player,madison14,Active,2020-08-13,2021-07-09,-8,5,3,0,0,0,17,1057,418,20,1620267258,1620673020,253,326,14,42
e3071203-dba6-4d46-b902-3e927cd32c94,player,joseph37,Active,2021-01-13,2021-05-22,-11,7,0,0,0,1,15,1078,330,12,1620394553,1621844960,77,527,7,57
f3c55752-79b4-4f7d-aaba-1391dfa23ba9,player,davidchad,Active,2019-05-13,2019-12-22,17,6,0,0,0,1,18,807,109,22,1619030558,1622848228,227,434,13,51
c4958f9d-404f-4bcc-9a06-a300c0be26cf,player,ksandoval,Active,2016-12-26,2017-08-19,29,5,2,1,0,2,17,1159,303,14,1623039276,1620236506,52,439,5,63
997c2859-f8d5-4255-ba4e-46f91d4a97d0,player,jmartin,Active,2018-05-10,2018-12-20,13,7,0,-1,0,0,18,1037,474,18,1621185470,1620565989,123,331,10,57
a3e7015a-b3ea-47c6-a633-3c9fdba36d3f,player,pinedakelli,Active,2021-01-11,2021-02-07,53,1,4,2,2,1,16,997,512,9,1619730172,1620512516,155,308,11,54
3d257409-5d24-464e-ab0d-bde9b3b58845,player,shawn64,Active,2016-11-12,2018-05-16,-36,8,3,0,0,0,16,789,321,12,1621483040,1620538964,243,385,7,60
0c2e3c2e-f59d-4397-b2d1-626ad9f1d666,player,eric27,Active,2016-11-15,2020-02-27,47,7,1,0,1,2,22,1203,449,12,1621850156,1622172478,163,710,12,68
443ee2c8-7200-4945-951c-3ab39ae2e6a4,player,tyler97,Active,2020-07-28,2020-08-14,5,20,1,0,1,0,15,1059,341,12,1619662612,1621602864,214,811,11,66
96c80c2f-5f90-437e-8657-d419e2571635,player,mberg,Active,2017-12-21,2019-11-03,-6,5,2,-1,1,1,20,1078,254,16,1623695057,1619060463,95,495,10,47
e261c4ba-83b6-4aec-8e51-7398be00ddd6,player,hphillips,Active,2018-02-07,2019-11-15,-20,5,1,-1,1,0,16,1173,395,19,1621750248,1623733780,150,526,10,53
