~from,~to,~label,~id,action_chat:Int,action_sharepii:Int,action_partyjoin:Int,action_randomheal:Int,action_endorse:Int,action_report:Int
5478ee58-65d2-44f1-9874-d1eac0d52a41,3f343aac-5e4e-4b7d-8f5d-30751d311e23,interaction_edge,0456b45e-0c0b-4aad-b7b1-b7cbb440e906,2974,0,3,1,4,0
5478ee58-65d2-44f1-9874-d1eac0d52a41,42924cf1-ee1f-4b2b-9870-7855d405a0b2,interaction_edge,aeaa740a-80cf-42e1-be18-0b48bf5959ae,2615,1,0,0,4,0
21fe8e07-119a-4801-84e5-f785f5d31639,bbc844d0-84e5-407d-b518-b20f3a11cadd,interaction_edge,f3517a87-4999-4176-bec9-f623bc33fb87,244,0,0,1,0,0
21fe8e07-119a-4801-84e5-f785f5d31639,5e2c4a21-11ce-4efd-8681-8cbb9ea82516,interaction_edge,c2abab26-1f64-4814-82d0-e3f9a621b66c,1499,2,6,2,2,0
21fe8e07-119a-4801-84e5-f785f5d31639,838b56dd-7881-4ad2-844a-ffde051bab8b,interaction_edge,5ab110f6-958b-4596-ad3e-566ae4636d2c,358,1,1,0,6,0
21fe8e07-119a-4801-84e5-f785f5d31639,b3e4c3b9-586d-4df8-87d5-bbe17ff2d2df,interaction_edge,28a46e46-e6f9-4dc6-84f0-4283fd75a0f8,1635,0,9,0,12,0
21fe8e07-119a-4801-84e5-f785f5d31639,bf7d09fd-6d03-4bb9-8b3a-964b6b4831f7,interaction_edge,94ab987a-ba22-4250-80de-b384b4e24dfc,1451,1,3,0,3,0
21fe8e07-119a-4801-84e5-f785f5d31639,e52ec62a-76d8-495b-82c2-765e115eebd8,interaction_edge,46b5e525-b449-448b-8aa3-36d5ccfdbf1e,1178,0,6,0,8,0
21fe8e07-119a-4801-84e5-f785f5d31639,ad449eb2-52a3-43df-8bfa-da95abbff796,interaction_edge,0f173d4d-6223-4fa5-8de5-36ec8dcfabf1,325,0,8,0,8,0
21fe8e07-119a-4801-84e5-f785f5d31639,157c8af7-b5f3-443a-a380-828d77b24c54,interaction_edge,77566318-03be-48ef-a176-9c76ff17485a,1350,1,0,0,0,0
