~id,~label,playerId:String,status:String,stat_joinedDate:Date,stat_lastPlayed:Date,ea_reputation:Int,ea_altruism:Int,ea_duty:Int,ea_mischief:Int,ea_malice:Int,ea_atrisk:Int,stat_totalSkinPurchases:Int,stat_totalCurrencyPurchases:Int,stat_idleMinutes:Int,stat_marketingEmailClickThroughs:Int,stat_lastChatTimestamp:Int,stat_lastGameSession:Int,stat_lastGameSessionLength:Int,stat_longestGameSessionLength:Int,stat_shortestGameSessionLength:Int,stat_medianGameSessionLength:Int
5478ee58-65d2-44f1-9874-d1eac0d52a41,player,fwilson,Active,2021-07-25,2021-07-25,11,11,4,0,0,0,19,872,361,6,1622770017,1622565133,237,237,8,60
21fe8e07-119a-4801-84e5-f785f5d31639,player,garciamichael,Active,2016-10-05,2017-01-08,10,2,3,-2,0,0,15,1110,518,13,1622155089,1618924703,169,607,8,63
b783a4a3-3bc6-42d8-8ce8-b4f0b18e2f1a,player,reedcindy,Active,2020-07-22,2020-09-17,26,10,2,0,0,0,19,1478,369,12,1621326410,1618590400,194,372,9,60
59b028d2-8389-495e-b7fa-2f2242e2c665,player,whitedanny,Active,2016-09-26,2021-01-06,18,2,2,-2,1,0,12,971,402,14,1622012767,1623282744,121,471,11,57
a2143216-9c3a-4669-8182-1a198bedb537,player,pgilmore,Active,2017-02-28,2021-02-14,25,24,6,-1,0,0,11,1092,444,17,1620079145,1623881735,193,341,13,60
51471afb-151f-42be-aedd-ad634bc6ca33,player,guzmanchristopher,Active,2021-07-15,2021-07-17,11,35,3,0,0,0,18,1196,392,20,1621383046,1620761216,118,409,14,59
6acaccdd-381e-443e-b8a1-72f5d9d7f38b,player,madison14,Active,2020-09-14,2021-08-10,-8,5,3,0,0,0,17,1057,418,20,1620267258,1620673020,253,326,14,42
5f28e824-2cf4-4453-bb08-c5fdc0f3f0be,player,joseph37,Active,2021-02-14,2021-06-23,-11,7,0,0,0,1,15,1078,330,12,1620394553,1621844960,77,527,7,57
96be19a2-8c40-4b85-a735-99996a987d18,player,davidchad,Active,2019-06-14,2020-01-23,17,6,0,0,0,1,18,807,109,22,1619030558,1622848228,227,434,13,51
6dda5022-40ea-4400-9049-9f238b8f9b76,player,ksandoval,Active,2017-01-27,2017-09-20,29,5,2,1,0,2,17,1159,303,14,1623039276,1620236506,52,439,5,63
